k,γ,α,xE,expP,xP
100,10,0.05,27.711708740776647,0.2903803669854337,17.120939030009147
100,20,0.05,13.837719765717772,0.4140144615072888,197.26534619471764
100,30,0.05,165.09171877773554,0.6388685755736047,821.6612917582479
100,40,0.05,,0.8594865503008227,712.7694772091586
100,50,0.05,48.96546981893011,1.067497423635071,289.0384454474557
100,60,0.05,39.85394611730969,1.1826396250654987,226.828753656434
100,70,0.05,9.005906213260095,1.392658431952766,80.95885147562485
100,80,0.05,3.458100371982959,1.7771345794024975,7.110237646459673
100,90,0.05,5.382573067856697,1.8766888249871991,4.666007351758816
100,100,0.05,4.581420483026358,1.5910055512278514,2.9262459385582344
200,10,0.05,40.60279405387062,0.2961279231768589,58.08535030615836
200,20,0.05,34.80995178979245,0.4801009505021619,699.6488909994924
200,30,0.05,277.34854304385266,0.7335412395281182,1840.7714520981608
200,40,0.05,234.09736362432264,0.9980283408984169,1383.886398289582
200,50,0.05,178.34880613263402,1.2080404839131018,908.3174780855616
200,60,0.05,77.81043633672245,1.3971517297767129,395.3403823082305
200,70,0.05,55.35407444079589,1.6976319292987103,212.47612441877493
200,80,0.05,42.290795738344805,1.850856067189612,150.0682832669859
200,90,0.05,16.224089421894828,2.2226663980093537,46.822702537843625
200,100,0.05,17.740400565496266,2.785180883721115,18.375131898424943
300,10,0.05,45.90455668072672,0.2995128294386434,116.54212179110498
300,20,0.05,68.5279302441033,0.5387283912643874,1346.5997765213212
300,30,0.05,258.1544534980739,0.8538760082417083,2329.665210356796
300,40,0.05,260.28647764046787,1.042176588223744,1895.790364551309
300,50,0.05,,1.2563114200431689,1134.9259405003563
300,60,0.05,127.72782116976164,1.4689339795943444,653.0716237432374
300,70,0.05,56.61120974157459,1.816388358977036,209.16699918125576
300,80,0.05,,2.178221102761265,140.3291880030541
300,90,0.05,68.96840980231912,2.424132988969637,137.80969052450962
300,100,0.05,8.333122124203852,2.9556015727851923,11.736881722221172
400,10,0.05,49.79969982552959,0.3041960816162428,184.5267168767961
400,20,0.05,124.92307475124647,0.5874552127414758,2013.334791231188
400,30,0.05,347.1122582871336,0.8882851807953055,3114.6004105655807
400,40,0.05,282.1943069609844,1.1369829449571056,2193.083275662611
400,50,0.05,223.51793942138744,1.3995825218452027,1158.4217276732606
400,60,0.05,152.78901366923728,1.4290776768216134,611.4594401406854
400,70,0.05,100.44451509976012,1.72838054359462,303.51153758806083
400,80,0.05,43.2545132633992,2.1834734887317087,95.21935854959386
400,90,0.05,18.18084821930732,2.461458610591045,53.84982134474575
400,100,0.05,110.25181454253593,3.126786422313121,135.98410904556945
500,10,0.05,50.58341800219981,0.3119259577241691,277.0639230997644
500,20,0.05,221.61015833220168,0.6129210409388002,2717.751519233327
500,30,0.05,441.31572578140754,0.9429223192936949,3595.7400317003726
500,40,0.05,293.20881179806,1.180779466498562,2273.428505456085
500,50,0.05,174.7731687363045,1.3412052732953168,1155.9639108099857
500,60,0.05,209.7726979179139,1.536305924732917,616.5375156307168
500,70,0.05,171.8714582895659,1.6665594007671298,322.92011260554204
500,80,0.05,77.51338444181518,2.2843454569710424,102.06894454866122
500,90,0.05,18.186192455779643,2.843451114647066,49.94133360414494
500,100,0.05,,3.1457661684001272,88.83981303112915
600,10,0.05,56.0863895821071,0.3168328893950917,368.7509186016712
600,20,0.05,352.61921260156305,0.6443938456407193,3592.0501685103154
600,30,0.05,546.483713675939,0.960226484356232,4317.874950970861
600,40,0.05,229.8470813221821,1.1925139493599195,2128.709324285255
600,50,0.05,197.59940274402723,1.3279262819098288,1189.297510775464
600,60,0.05,307.38893271670554,1.582910735625995,557.1296760812972
600,70,0.05,253.1809871322476,1.7232783154094633,347.5174953954408
600,80,0.05,,1.9674827678764888,281.1149482036354
600,90,0.05,78.79896138153751,2.795959219907138,85.89858434258308
600,100,0.05,9.905552131105075,3.1750616966243754,28.59683842230493
700,10,0.05,61.49397213849082,0.3293889558632812,483.8741005062736
700,20,0.05,,0.6680343090935681,4451.447627900238
700,30,0.05,576.1161688292467,1.002612095439937,4547.093931843
700,40,0.05,,1.2502176310133488,2511.4478146135484
700,50,0.05,267.9411690630852,1.3569128909081027,1174.1928609519423
700,60,0.05,318.3082743234428,1.64218262871141,517.8847354184978
700,70,0.05,389.1521632892224,1.7552865734703482,406.9329991588703
700,80,0.05,395.953149879314,2.003812240973504,335.92859589616535
700,90,0.05,16.82040861678333,3.092791690006221,41.26794603324423
700,100,0.05,,3.328477421414308,166.33663314043312
800,10,0.05,61.3171307144916,0.3376341852446212,630.9434154759608
800,20,0.05,,0.6968965576749309,5302.758121777097
800,30,0.05,598.3612671536607,1.031571826181861,4684.732232141921
800,40,0.05,365.05923645653166,1.2876353527904296,2817.9392850779427
800,50,0.05,304.3860792530247,1.4213993140993488,1181.5424795984395
800,60,0.05,187.83921794188947,1.7584686870417114,510.9505232659283
800,70,0.05,379.8860767193976,1.8850694530867145,415.1883128767511
800,80,0.05,107.00925935736672,2.489791379837934,150.4744167880662
800,90,0.05,,3.3092378013361845,86.41476997958921
800,100,0.05,934.3234805669412,3.1541621547070204,1050.24426006798
900,10,0.05,67.12033085084165,0.340189946685579,755.8413801638868
900,20,0.05,811.6407154992171,0.7150519110645,6104.085842931522
900,30,0.05,,1.059098194400952,5036.315227303148
900,40,0.05,554.070947502993,1.3501085291632269,3255.447450672685
900,50,0.05,234.579492734774,1.5588322360647189,1329.604597266964
900,60,0.05,262.1208253259969,1.7210858795992647,529.0729191843639
900,70,0.05,185.13039018860147,2.169684230570578,297.1388242915337
900,80,0.05,72.44176910099996,2.6415518076201203,135.05348676909205
900,90,0.05,22.729654893027167,3.120381472795179,56.20572239404725
900,100,0.05,379.04245472986673,3.3137884473427413,463.383076125997
1000,10,0.05,65.57720369747008,0.3480832855015283,924.3414538185934
1000,20,0.05,,0.7381360253730521,6895.91194673289
1000,30,0.05,839.119550732548,1.0910396842150831,5500.591433013668
1000,40,0.05,,1.3950046560042189,3217.292832957207
1000,50,0.05,326.6275843324521,1.7247128159800535,1508.8857394265483
1000,60,0.05,,1.7874107332546196,532.6863229043051
1000,70,0.05,1099.854510526694,1.7163283849701696,829.345046429111
1000,80,0.05,,2.9516356442929257,221.94130355906285
1000,90,0.05,139.27823399250138,2.961794830502523,155.8588221037979
1000,100,0.05,,3.326868988187885,130.99284232366867
100,10,0.1,18.62811930133386,0.3334665510416402,27.71461652461388
100,20,0.1,14.944672048609135,0.5206031692336437,224.82005617116772
100,30,0.1,71.93175157278489,0.6846798897905177,587.8303781074799
100,40,0.1,107.24884662790194,0.8619430119240404,641.2066453796407
100,50,0.1,105.7919285283856,0.9470995747116548,557.2761843311146
100,60,0.1,26.75659686368532,1.063224487162654,209.87755978762888
100,70,0.1,26.69911833173059,1.1104241073656558,182.7060656062836
100,80,0.1,16.90081363320285,1.176911946900137,81.66817896494766
100,90,0.1,13.60055153247484,1.2045790366077604,12.468538437955438
100,100,0.1,32.218008794671704,1.1582781946782792,2.870319246766798
200,10,0.1,31.418346945583245,0.3541412874498617,81.67708326463399
200,20,0.1,49.68732239941208,0.5950220239624738,739.3585470689784
200,30,0.1,150.2898753158135,0.8079001594945976,1470.050186349337
200,40,0.1,185.20264678337648,0.986369797598228,1416.640622879224
200,50,0.1,136.67009225874602,1.1690314763598355,957.5066333959506
200,60,0.1,95.94959644686348,1.2943699020486392,612.4055308446561
200,70,0.1,75.99850989924002,1.3594285289611974,484.689167136212
200,80,0.1,19.059292811898487,1.4847502308232137,183.18516245142536
200,90,0.1,14.40834747016656,1.6124972563808315,88.12343066203209
200,100,0.1,11.268752093106665,1.6122501949487518,51.56536124218672
300,10,0.1,36.82244901774214,0.3740644320457965,165.19119680467458
300,20,0.1,130.34572485998177,0.6573721714905988,1436.5630107121929
300,30,0.1,187.90066990302665,0.8750494652516464,2092.6598070540017
300,40,0.1,159.5391614870892,1.077106968196726,1618.7550416644935
300,50,0.1,172.47571712409786,1.2373327499578728,1324.3915430079944
300,60,0.1,131.78529487602165,1.437646018086271,829.5362497138988
